tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,genres,averageRating,numVotes,sortedTitle,imdb_url
tt1449175,tvMovie,Hamlet,Hamlet,0,2009,\N,Drama,8.2,3203,Hamlet (2009– ),https://www.imdb.com/title/tt1449175/
tt0116477,movie,Hamlet,Hamlet,0,1996,\N,Drama,7.7,36312,Hamlet (1996),https://www.imdb.com/title/tt0116477/
tt0085640,movie,Hammett,Hammett,0,1982,\N,Crime Drama Mystery,6.5,2992,Hammett (1982),https://www.imdb.com/title/tt0085640/
tt0099729,movie,Hamoun,Hamoun,0,1990,\N,Drama,8.0,6385,Hamoun (1990),https://www.imdb.com/title/tt0099729/
tt0407851,movie,Hana and Alice,Hana to Arisu,0,2004,\N,Comedy Drama Romance,7.2,3954,Hana and Alice (2004),https://www.imdb.com/title/tt0407851/
tt0448157,movie,Hancock,Hancock,0,2008,\N,Action Drama Fantasy,6.4,449830,Hancock (2008),https://www.imdb.com/title/tt0448157/
tt3973768,tvSeries,Hand of God,Hand of God,0,2014,2017,Crime Drama,7.5,10637,Hand of God (2014–2017),https://www.imdb.com/title/tt3973768/
tt0057286,movie,Hands Over the City,Le mani sulla città,0,1963,\N,Drama,7.7,2589,Hands Over the City (1963),https://www.imdb.com/title/tt0057286/
tt1781827,movie,Hands of Stone,Hands of Stone,0,2016,\N,Biography Drama Sport,6.6,15356,Hands of Stone (2016),https://www.imdb.com/title/tt1781827/
tt5016946,movie,Handsome Devil,Handsome Devil,0,2016,\N,Comedy Drama Sport,7.1,11746,Handsome Devil (2016),https://www.imdb.com/title/tt5016946/
tt0061747,movie,Hang 'Em High,Hang 'Em High,0,1968,\N,Drama Western,7.0,35966,Hang 'Em High (1968),https://www.imdb.com/title/tt0061747/
tt0103435,tvSeries,Hangin' with Mr. Cooper,Hangin' with Mr. Cooper,0,1992,1997,Comedy Family Sport,6.4,2769,Hangin' with Mr. Cooper (1992–1997),https://www.imdb.com/title/tt0103435/
tt0079221,movie,Hanky Panky,Gol Maal,0,1979,\N,Comedy Romance,8.5,18240,Hanky Panky (1979),https://www.imdb.com/title/tt0079221/
tt6932244,tvSeries,Hanna,Hanna,0,2019,\N,Action Drama,7.5,27170,Hanna (2019– ),https://www.imdb.com/title/tt6932244/
tt0993842,movie,Hanna,Hanna,0,2011,\N,Action Adventure Drama,6.8,192028,Hanna (2011),https://www.imdb.com/title/tt0993842/
tt1674773,movie,Hannah Arendt,Hannah Arendt,0,2012,\N,Biography Drama,7.1,10729,Hannah Arendt (2012),https://www.imdb.com/title/tt1674773/
tt10332256,tvSpecial,Hannah Gadsby: Douglas,Hannah Gadsby: Douglas,0,2020,\N,Comedy,7.9,3070,Hannah Gadsby: Douglas (2020– ),https://www.imdb.com/title/tt10332256/
